Region,Year,Crop_Type,Sown_Acre,Harvested_Acre,Production_Ton,Fertilizer_Import_Value(USD),Avg_Temperature,Total_Rainfall,Myanmar_GDP_USD,Soil_Type,Seeding_Season,Water_Source,Avg_Humidity,Crop_Yield,Unnamed: 15,Unnamed: 16
Kachin,2012,Paddy,448349,443507,590116,243967785.0,23.38,914.61,59920000000.0,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,78.77,1.33056749949831,,
Kachin,2013,Paddy,443081,439788,591082,199816069.0,23.62,939.94,63260000000.0,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,79.03,1.34401575304464,,
Kachin,2014,Paddy,446683,442002,608535,267590796.3,24.01,833.48,67459999999.9999,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,77.68,1.37676978837199,,
Kachin,2015,Paddy,449678,440587,613587,238665203.2,23.27,1005.47,62720000000.0,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,79.88,1.39265797674466,,
Kachin,2016,Paddy,448189,447941,631478,314946615.9,23.17,1224.63,60120000000.0,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,82.52,1.40973476417653,,
Kachin,2017,Paddy,446807,442613,624977,304701296.0,23.28,1125.21,63340000000.0,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,81.31,1.41201681830402,, 
Kachin,2018,Paddy,460914,459192,648711,380230690.0,22.85,1162.0,67150000000.0,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,81.83,1.41272278262687,,
Kachin,2019,Paddy,477017,476849,676696,413574673.8,23.49,1042.44,68700000000.0,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,80.28,1.41909912781614,,
Kachin,2020,Paddy,503741,491419,701948,391351453.3,22.87,1329.91,78930000000.0,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,83.84,1.42841037892307,,
Kachin,2021,Paddy,504840,500250,711790,388899650.8,23.65,1005.31,65120000000.0,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,79.81,1.42286856571714,,
Kachin,2022,Paddy,506838,505642,722271,586761617.0,22.99,1256.07,62240000000.0,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,82.93,1.42842366733776,,
Kachin,2023,Paddy,515507,512229,748760,586702652.6,23.84,1183.85,64800000000.0,Acrisols / Red-Brown Lateritic,Rainy,Rainfed,81.91,1.4617680763877,,
Kayah,2012,Paddy,104280,98779,130801,243967785.0,22.51,1604.82,59920000000.0,Luvisols / Red Earth,Rainy,Rainfed,87.21,1.32417821601757,,
Kayah,2013,Paddy,103085,97506,130412,199816069.0,22.71,1317.07,63260000000.0,Luvisols / Red Earth,Rainy,Rainfed,83.72,1.33747666810247,,
Kayah,2014,Paddy,99110,94771,129378,267590796.3,23.02,1089.18,67459999999.9999,Luvisols / Red Earth,Rainy,Rainfed,80.93,1.36516444904031,,
Kayah,2015,Paddy,94282,90020,121783,238665203.2,23.36,1113.03,62720000000.0,Luvisols / Red Earth,Rainy,Rainfed,81.15,1.35284381248611,,
Kayah,2016,Paddy,95180,95180,133364,314946615.9,23.41,1222.88,60120000000.0,Luvisols / Red Earth,Rainy,Rainfed,82.46,1.40117671779785,,
Kayah,2017,Paddy,87938,87938,124260,304701296.0,23.16,1567.54,63340000000.0,Luvisols / Red Earth,Rainy,Rainfed,86.64,1.41304100616343,,
Kayah,2018,Paddy,87866,87796,123848,380230690.0,22.69,1316.55,67150000000.0,Luvisols / Red Earth,Rainy,Rainfed,83.71,1.41063374185612,,
Kayah,2019,Paddy,85884,85867,121612,413574673.8,23.24,1282.79,68700000000.0,Luvisols / Red Earth,Rainy,Rainfed,83.21,1.41628332188151,,
Kayah,2020,Paddy,83912,83777,117285,391351453.3,23.16,1222.66,78930000000.0,Luvisols / Red Earth,Rainy,Rainfed,82.5,1.39996657793905,,
Kayah,2021,Paddy,72527,72527,98584,388899650.8,23.01,1440.62,65120000000.0,Luvisols / Red Earth,Rainy,Rainfed,85.15,1.35927309829442,,
Kayah,2022,Paddy,72708,72708,100939,586761617.0,22.94,1814.13,62240000000.0,Luvisols / Red Earth,Rainy,Rainfed,89.64,1.38827914397315,,
Kayah,2023,Paddy,78726,78531,113294,586702652.6,23.4,1417.46,64800000000.0,Luvisols / Red Earth,Rainy,Rainfed,84.8,1.44266595357247,,
Kayin,2012,Paddy,647658,645453,922425,243967785.0,26.77,2467.92,59920000000.0,Fluvisols / Gleysols / Alluvial,Rainy,Rainfed,93.0,1.42911257674842,,
Kayin,2013,Paddy,649151,647774,935239,199816069.0,26.67,2022.51,63260000000.0,Fluvisols / Gleysols / Alluvial,Rainy,Rainfed,91.47,1.44377360005187,,
Kayin,2014,Paddy,646395,643387,938249,267590796.3,26.61,1604.54,67459999999.9999,Fluvisols / Gleysols / Alluvial,Rainy,Rainfed,86.46,1.45829648407568,,
Kayin,2015,Paddy,644399,642872,944963,238665203.2,26.97,1981.43,62720000000.0,Fluvisols / Gleysols / Alluvial,Rainy,Rainfed,90.92,1.46990847322639,,
Kayin,2016,Paddy,582364,582226,837329,314946615.9,26.89,1804.66,60120000000.0,Fluvisols / Gleysols / Alluvial,Rainy,Rainfed,88.82,1.43815116466801,,
Kayin,2017,Paddy,549282,549167,798871,304701296.0,26.65,2185.47,63340000000.0,Fluvisols / Gleysols / Alluvial,Rainy,Rainfed,93.0,1.45469593038183,,
Kayin,2018,Paddy,546303,535661,777463,380230690.0,26.73,2484.66,67150000000.0,Fluvisols / Gleysols / Alluvial,Rainy,Rainfed,93.0,1.4514086334454,,
Kayin,2019,Paddy,544960,543910,784001,413574673.8,26.95,2087.25,68700000000.0,Fluvisols / Gleysols / Alluvial,Rainy,Rainfed,92.2,1.44141677851115,,
