Crop_Type,AUC,Test Support
Beteleaves,0.9882118055555555,30
Betelnut,0.995451388888889,30
Bocatepe(Cow Pea),0.9751562500000002,30
Butter Bean,0.9300868055555556,30
Chillie,0.895329861111111,30
Coffee,0.9538368055555555,30
Garlic,0.89015625,30
Gram(Chick pea),0.9910590277777778,30
Groundnut(Rain),0.9772569444444444,30
Groundnut(Winter),0.9685590277777778,30
Maize,0.9737152777777778,30
Matpe(Blackgram),0.9983333333333333,30
Onion,0.94546875,30
Paddy,0.9993923611111112,30
Panauk(Krishna mung),0.9151736111111112,30
Peboke(Soy bean),0.9471875,30
Pebyugale(Duffin bean),0.9490798611111111,30
Pedisein(Greengram),0.9974826388888889,30
Pegya(Lima bean),0.9342708333333334,30
Pegyi(Lablab bean),0.944670138888889,30
Pelun(Cow pea),0.9752604166666666,30
Pesingon(Pigeon pea),0.9744965277777778,30
Peyin(Rice bean),0.865625,30
Plantain,0.995329861111111,30
Potato,0.9926909722222221,30
Sadawpe(Garden pea),0.9231770833333333,30
Sesamum(Early),0.9927083333333333,30
Sesamum(Late),0.995625,30
Sesamum(Summer),0.988125,30
Sugarcane,0.9513368055555556,30
Sunflower,0.9942534722222223,30
Tea,0.9339756944444444,30
Wheat,0.9161631944444446,30
