Crop_Type,AUC,Test Support
Beteleaves,0.9875868055555554,30
Betelnut,0.9955208333333332,30
Bocatepe(Cow Pea),0.976857638888889,30
Butter Bean,0.9302604166666668,30
Chillie,0.9023437500000001,30
Coffee,0.94234375,30
Garlic,0.9288715277777777,30
Gram(Chick pea),0.9890972222222222,30
Groundnut(Rain),0.9794270833333334,30
Groundnut(Winter),0.9816666666666667,30
Maize,0.9644270833333334,30
Matpe(Blackgram),0.9979513888888889,30
Onion,0.9551736111111111,30
Paddy,0.9994791666666667,30
Panauk(Krishna mung),0.9232986111111112,30
Peboke(Soy bean),0.9542534722222222,30
Pebyugale(Duffin bean),0.9477256944444445,30
Pedisein(Greengram),0.9970659722222222,30
Pegya(Lima bean),0.9309201388888889,30
Pegyi(Lablab bean),0.9401562499999999,30
Pelun(Cow pea),0.9814756944444444,30
Pesingon(Pigeon pea),0.9795833333333334,30
Peyin(Rice bean),0.8614756944444444,30
Plantain,0.993732638888889,30
Potato,0.9937499999999999,30
Sadawpe(Garden pea),0.9305208333333332,30
Sesamum(Early),0.9926909722222221,30
Sesamum(Late),0.9959548611111111,30
Sesamum(Summer),0.9863715277777778,30
Sugarcane,0.9678819444444444,30
Sunflower,0.9950694444444445,30
Tea,0.9590277777777778,30
Wheat,0.9183854166666667,30
